ProductName;Manufacturer;BrandName;ClassName;StyleName;ColorName;Size;SalesQuantity
Fabrikam Refrigerador 1.7CuFt E1200 Azul;Fabrikam, Inc.;Fabrikam;Economía;Product0802030;Azul;34 x 23 x 20;1200
Fabrikam Refrigerador 24.7CuFt X9800 Gris;Fabrikam, Inc.;Fabrikam;Deluxe;Product0802031;Gris;36 x 40 x 28;129
Fabrikam Refrigerador 19CuFt M7600 Gris;Fabrikam, Inc.;Fabrikam;Normal;Product0802032;Gris;18 x 19 x 20.2;531
Fabrikam Refrigerador 9.7CuFt M5600 Gris;Fabrikam, Inc.;Fabrikam;Normal;Product0802033;Gris;19 x 18 x 34;791
Fabrikam Refrigerador 4.6CuFt E2800 Gris;Fabrikam, Inc.;Fabrikam;Normal;Product0802034;Gris;22 x 21 x 33;1071
Fabrikam Refrigerador 3.2CuFt E1600 Gris;Fabrikam, Inc.;Fabrikam;Normal;Product0802035;Gris;20 x 19 x 18;947
Fabrikam Refrigerador 1.7CuFt E1200 Gris;Fabrikam, Inc.;Fabrikam;Economía;Product0802036;Gris;21 x 17 x 46;1083
Fabrikam Refrigerador 24.7CuFt X9800 Naranja;Fabrikam, Inc.;Fabrikam;Deluxe;Product0802037;Naranja;36 x 42 x 29;176
Fabrikam Refrigerador 19CuFt M7600 Naranja;Fabrikam, Inc.;Fabrikam;Normal;Product0802038;Naranja;20 x 18 x 33;658
Fabrikam Refrigerador 9.7CuFt M5600 Naranja;Fabrikam, Inc.;Fabrikam;Normal;Product0802039;Naranja;22 x 19 x 36;928
Fabrikam Refrigerador 4.6CuFt E2800 Naranja;Fabrikam, Inc.;Fabrikam;Normal;Product0802040;Naranja;20 x 18 x 33;1240
Fabrikam Refrigerador 3.2CuFt E1600 Naranja;Fabrikam, Inc.;Fabrikam;Normal;Product0802041;Naranja;35 x 39 x 27;921
Fabrikam Refrigerador 1.7CuFt E1200 Naranja;Fabrikam, Inc.;Fabrikam;Economía;Product0802042;Naranja;20 x 18 x 33;1014
Litware Refrigerador 24.7CuFt X980 Blanco;Litware, Inc.;Litware;Deluxe;Product0802043;Blanco;30.5 x 30.2 x 25;637
Litware Refrigerador 19CuFt M760 Blanco;Litware, Inc.;Litware;Normal;Product0802044;Blanco;21.6 x 18 x 46;443
Litware Refrigerador 9.7CuFt M560 Blanco;Litware, Inc.;Litware;Normal;Product0802045;Blanco;34 x 23.2 x 20.5;1087
Litware Refrigerador 4.6CuFt E280 Blanco;Litware, Inc.;Litware;Normal;Product0802046;Blanco;36 x 40.2 x 28;981
Litware Refrigerador 3.2CuFt E160 Blanco;Litware, Inc.;Litware;Normal;Product0802047;Blanco;18 x 19.3 x 20;985
Litware Refrigerador 1.7CuFt E120 Blanco;Litware, Inc.;Litware;Economía;Product0802048;Blanco;19 x 17 x 34.8;770
Litware Refrigerador 24.7CuFt X980 Marrón;Litware, Inc.;Litware;Deluxe;Product0802049;Marrón;22 x 21 x 33.5;879
Litware Refrigerador 19CuFt M760 Marrón;Litware, Inc.;Litware;Normal;Product0802050;Marrón;20 x 19 x 18.6;668
Litware Refrigerador 9.7CuFt M560 Marrón;Litware, Inc.;Litware;Normal;Product0802051;Marrón;21 x 17 x 46.2;984
Litware Refrigerador 4.6CuFt E280 Marrón;Litware, Inc.;Litware;Normal;Product0802052;Marrón;36 x 42.2 x 29;1005
Litware Refrigerador 3.2CuFt E160 Marrón;Litware, Inc.;Litware;Normal;Product0802053;Marrón;20 x 18 x 33.7;1025
Litware Refrigerador 1.7CuFt E120 Marrón;Litware, Inc.;Litware;Economía;Product0802054;Marrón;22 x 19 x 36;1001
Litware Refrigerador 24.7CuFt X980 Plata;Litware, Inc.;Litware;Deluxe;Product0802055;Plata;20 x 18 x 33;794
Litware Refrigerador 19CuFt M760 Plata;Litware, Inc.;Litware;Normal;Product0802056;Plata;35 x 39 x 25;752
Litware Refrigerador 9.7CuFt M560 Plata;Litware, Inc.;Litware;Normal;Product0802057;Plata;20.7 x 18.7 x 33.7;1029
Litware Refrigerador 4.6CuFt E280 Plata;Litware, Inc.;Litware;Normal;Product0802058;Plata;22.8 x 19.9 x 36.1;1310
Litware Refrigerador 3.2CuFt E160 Plata;Litware, Inc.;Litware;Normal;Product0802059;Plata;20.7 x 18.7 x 33.7;1094
Litware Refrigerador 1.7CuFt E120 Plata;Litware, Inc.;Litware;Economía;Product0802060;Plata;35.8 x 39.2 x 27;1150
Litware Refrigerador 24.7CuFt X980 Verde;Litware, Inc.;Litware;Deluxe;Product0802061;Verde;20.7 x 18.7 x 33.7;702
Litware Refrigerador 19CuFt M760 Verde;Litware, Inc.;Litware;Normal;Product0802062;Verde;30.8 x 30.2 x 25;522
Litware Refrigerador 9.7CuFt M560 Verde;Litware, Inc.;Litware;Normal;Product0802063;Verde;21.6 x 18.1 x 46;1001
Litware Refrigerador 4.6CuFt E280 Verde;Litware, Inc.;Litware;Normal;Product0802064;Verde;34.8 x 23 x 20.5;919
Litware Refrigerador 3.2CuFt E160 Verde;Litware, Inc.;Litware;Normal;Product0802065;Verde;36.8 x 40.2 x 28;975
Litware Refrigerador 1.7CuFt E120 Verde;Litware, Inc.;Litware;Economía;Product0802066;Verde;18.3 x 19 x 20.2;941
Litware Refrigerador 24.7CuFt X980 Azul;Litware, Inc.;Litware;Deluxe;Product0802067;Azul;19.8 x 17.6 x 34;761
Litware Refrigerador 19CuFt M760 Azul;Litware, Inc.;Litware;Normal;Product0802068;Azul;22 x 21.5 x 33.5;538
Litware Refrigerador 9.7CuFt M560 Azul;Litware, Inc.;Litware;Normal;Product0802069;Azul;20.8 x 19.6 x 18;1055
Litware Refrigerador 4.6CuFt E280 Azul;Litware, Inc.;Litware;Normal;Product0802070;Azul;21.6 x 17 x 46.2;1212
Litware Refrigerador 3.2CuFt E160 Azul;Litware, Inc.;Litware;Normal;Product0802071;Azul;36.7 x 42 x 29.5;1132
Litware Refrigerador 1.7CuFt E120 Azul;Litware, Inc.;Litware;Economía;Product0802072;Azul;20.7 x 18 x 33.7;1078
Litware Refrigerador 24.7CuFt X980 Gris;Litware, Inc.;Litware;Deluxe;Product0802073;Gris;22.8 x 19 x 36.1;702
Litware Refrigerador 19CuFt M760 Gris;Litware, Inc.;Litware;Normal;Product0802074;Gris;20.7 x 18 x 33.7;399
Litware Refrigerador 9.7CuFt M560 Gris;Litware, Inc.;Litware;Normal;Product0802075;Gris;35 x 39.2 x 25;1116
Litware Refrigerador 4.6CuFt E280 Gris;Litware, Inc.;Litware;Normal;Product0802076;Gris;21.5x 18 x 46.3;989
Litware Refrigerador 3.2CuFt E160 Gris;Litware, Inc.;Litware;Normal;Product0802077;Gris;34 x 23 x 20;1086
Litware Refrigerador 1.7CuFt E120 Gris;Litware, Inc.;Litware;Economía;Product0802078;Gris;36 x 40 x 28;1190
Litware Refrigerador L1200 Naranja;Litware, Inc.;Litware;Deluxe;Product0802079;Naranja;18 x 19 x 20;186
Litware Refrigerador 19CuFt M760 Naranja;Litware, Inc.;Litware;Normal;Product0802080;Naranja;19 x 18 x 34;556
Litware Refrigerador 9.7CuFt M560 Naranja;Litware, Inc.;Litware;Normal;Product0802081;Naranja;22 x 21 x 33;1147
Litware Refrigerador 4.6CuFt E280 Naranja;Litware, Inc.;Litware;Normal;Product0802082;Naranja;20 x 19 x 18;1089
Litware Refrigerador 3.2CuFt E160 Naranja;Litware, Inc.;Litware;Normal;Product0802083;Naranja;21 x 17 x 46.5;894
Litware Refrigerador 1.7CuFt E120 Naranja;Litware, Inc.;Litware;Economía;Product0802084;Naranja;36 x 42 x 29.6;1048
Litware Refrigerador 19CuFt M760 Red;Litware, Inc.;Litware;Normal;Product0802085;Red;20 x 18 x 33.8;504
Litware Refrigerador 9.7CuFt M560 Red;Litware, Inc.;Litware;Normal;Product0802086;Red;35 x 39 x 25.9;766
Fabrikam Microondas 1.5CuFt X1100 Blanco;Fabrikam, Inc.;Fabrikam;Deluxe;Product0803001;Blanco;15 x 12 x 20   ;208
Fabrikam Microondas 2.2CuFt M1250 Blanco;Fabrikam, Inc.;Fabrikam;Normal;Product0803002;Blanco;17.8 x 20.5 x 12.2;616
Fabrikam Microondas 1.6CuFt M1250 Blanco;Fabrikam, Inc.;Fabrikam;Normal;Product0803003;Blanco;15 x 12 x 20 ;1140
Fabrikam Microondas 1.0CuFt E1100 Blanco;Fabrikam, Inc.;Fabrikam;Normal;Product0803004;Blanco;16.1  x 6.5  x 1.8 ;967
Fabrikam Microondas 0.9CuFt E0900 Blanco;Fabrikam, Inc.;Fabrikam;Economía;Product0803005;Blanco;15.9 x 20.4 x 11.9 ;1009
Fabrikam Microondas 0.8CuFt E0800 Blanco;Fabrikam, Inc.;Fabrikam;Economía;Product0803006;Blanco;15 x 12 x 20 ;867
Fabrikam Microondas 1.5CuFt X1100 Plata;Fabrikam, Inc.;Fabrikam;Deluxe;Product0803007;Plata;19 x 24 x 14  ;166
Fabrikam Microondas 2.2CuFt M1250 Plata;Fabrikam, Inc.;Fabrikam;Normal;Product0803008;Plata;17 x 22 x 15 ;655
Fabrikam Microondas 1.6CuFt M1250 Plata;Fabrikam, Inc.;Fabrikam;Normal;Product0803009;Plata;19 x 14.3 x 11.1;1143
Fabrikam Microondas 1.0CuFt E1100 Plata;Fabrikam, Inc.;Fabrikam;Normal;Product0803010;Plata;19 x 14.3 x 11.1;998
Fabrikam Microondas 0.9CuFt E0900 Plata;Fabrikam, Inc.;Fabrikam;Economía;Product0803011;Plata;5.7  x 6.7  x 1.9  ;990
Fabrikam Microondas 0.8CuFt E0800 Plata;Fabrikam, Inc.;Fabrikam;Economía;Product0803012;Plata; 22.5 x 17.5 x 14;876
Fabrikam Microondas 1.5CuFt X1100 Gris;Fabrikam, Inc.;Fabrikam;Deluxe;Product0803013;Gris;19.4 x 21.9 x 11.9;195
Fabrikam Microondas 2.2CuFt M1250 Gris;Fabrikam, Inc.;Fabrikam;Normal;Product0803014;Gris; 22.5 x 17.5 x 14;522
Fabrikam Microondas 1.6CuFt M1250 Gris;Fabrikam, Inc.;Fabrikam;Normal;Product0803015;Gris;19 x 24 x 14 ;962
Fabrikam Microondas 1.0CuFt E1100 Gris;Fabrikam, Inc.;Fabrikam;Normal;Product0803016;Gris;19 x 14.3 x 11.1;987
Fabrikam Microondas 0.9CuFt E0900 Gris;Fabrikam, Inc.;Fabrikam;Economía;Product0803017;Gris;21.6 x 12.4 x 17.5 ;1320
Fabrikam Microondas 0.8CuFt E0800 Gris;Fabrikam, Inc.;Fabrikam;Economía;Product0803018;Gris;19.4 x 23.9 x 14 ;957
Fabrikam Microondas 1.5CuFt X1100 Red;Fabrikam, Inc.;Fabrikam;Deluxe;Product0803019;Red; 22.5 x 17.5 x 14;153
Fabrikam Microondas 2.2CuFt M1250 Red;Fabrikam, Inc.;Fabrikam;Normal;Product0803020;Red;23.2 x 22.2 x 15.5;657
Fabrikam Microondas 1.6CuFt M1250 Red;Fabrikam, Inc.;Fabrikam;Normal;Product0803021;Red;21.6 x 12.4 x 17.5;830
Fabrikam Microondas 1.0CuFt E1100 Red;Fabrikam, Inc.;Fabrikam;Normal;Product0803022;Red;19 x 24 x 15 ;1132
Fabrikam Microondas 0.9CuFt E0900 Red;Fabrikam, Inc.;Fabrikam;Economía;Product0803023;Red;17.2 x 20.5 x 12.2;1158
Fabrikam Microondas 0.8CuFt E0800 Red;Fabrikam, Inc.;Fabrikam;Economía;Product0803024;Red;19 x 14.3 x 11.1;1131
Fabrikam Microondas 1.5CuFt X1100 Negro;Fabrikam, Inc.;Fabrikam;Deluxe;Product0803025;Negro; 24.7 x 21.4 x 15.4;258
Fabrikam Microondas 2.2CuFt M1250 Negro;Fabrikam, Inc.;Fabrikam;Normal;Product0803026;Negro;22.5 x 16.8 x 13 ;543
Fabrikam Microondas 1.6CuFt M1250 Negro;Fabrikam, Inc.;Fabrikam;Normal;Product0803027;Negro;21.7 x 17.4 x 12.4;983
Fabrikam Microondas 1.0CuFt E1100 Negro;Fabrikam, Inc.;Fabrikam;Normal;Product0803028;Negro; 22.5 x 17.5 x 14;868
Fabrikam Microondas 0.9CuFt E0900 Negro;Fabrikam, Inc.;Fabrikam;Economía;Product0803029;Negro;18 x 39 x 31 ;837
Fabrikam Microondas 0.8CuFt E0800 Negro;Fabrikam, Inc.;Fabrikam;Economía;Product0803030;Negro;19 x 14.3 x 11.1;660
Fabrikam Microondas 1.5CuFt X1100 Azul;Fabrikam, Inc.;Fabrikam;Deluxe;Product0803031;Azul;23 x 27 x 15 ;155
Fabrikam Microondas 2.2CuFt M1250 Azul;Fabrikam, Inc.;Fabrikam;Normal;Product0803032;Azul;23 x 27 x 17 ;663
Fabrikam Microondas 1.6CuFt M1250 Azul;Fabrikam, Inc.;Fabrikam;Normal;Product0803033;Azul; 22.5 x 17.5 x 14;746
Fabrikam Microondas 1.0CuFt E1100 Azul;Fabrikam, Inc.;Fabrikam;Normal;Product0803034;Azul;33.1 x 19.3 x 15.6;1191
Fabrikam Microondas 0.9CuFt E0900 Azul;Fabrikam, Inc.;Fabrikam;Economía;Product0803035;Azul;20 x 20 x 34 ;871
Fabrikam Microondas 0.8CuFt E0800 Azul;Fabrikam, Inc.;Fabrikam;Economía;Product0803036;Azul;19 x 24 x 14 ;1008
Litware Microondas 1.5CuFt X110 Blanco;Litware, Inc.;Litware;Deluxe;Product0803037;Blanco;19 x 14.3 x 11.1;1051
Litware Microondas 2.2CuFt M125 Blanco;Litware, Inc.;Litware;Normal;Product0803038;Blanco;21 x 12 x 17 ;731
Litware Microondas 1.6CuFt M125 Blanco;Litware, Inc.;Litware;Normal;Product0803039;Blanco;25.2 x 21.5 x 15.1 ;976
Litware Microondas 1.0CuFt E110 Blanco;Litware, Inc.;Litware;Normal;Product0803040;Blanco; 22.5 x 17.5 x 14;1136
Litware Microondas 0.9CuFt E090 Blanco;Litware, Inc.;Litware;Economía;Product0803041;Blanco;13 x 19.4 x 16.5;930
Litware Microondas 0.8CuFt E080 Blanco;Litware, Inc.;Litware;Economía;Product0803042;Blanco;18 x 21 x 13 ;797
Litware Microondas 1.5CuFt X110 Plata;Litware, Inc.;Litware;Deluxe;Product0803043;Plata;19 x 24 x 14 ;1018
Litware Microondas 2.2CuFt M125 Plata;Litware, Inc.;Litware;Normal;Product0803044;Plata; 17 x 22 x 15 ;501
Litware Microondas 1.6CuFt M125 Plata;Litware, Inc.;Litware;Normal;Product0803045;Plata;19.4 x 21.9 x 11.9;1002
Litware Microondas 1.0CuFt E110 Plata;Litware, Inc.;Litware;Normal;Product0803046;Plata;15 x 12 x 20   ;964
Litware Microondas 0.9CuFt E090 Plata;Litware, Inc.;Litware;Economía;Product0803047;Plata;17.8 x 20.5 x 12.2;1153
Litware Microondas 0.8CuFt E080 Plata;Litware, Inc.;Litware;Economía;Product0803048;Plata;15 x 12 x 20 ;1284
Litware Microondas 1.5CuFt X110 Gris;Litware, Inc.;Litware;Deluxe;Product0803049;Gris;16.1  x 6.5  x 1.8 ;1064
Litware Microondas 2.2CuFt M125 Gris;Litware, Inc.;Litware;Normal;Product0803050;Gris;15.9 x 20.4 x 11.9 ;761
Litware Microondas 1.6CuFt M125 Gris;Litware, Inc.;Litware;Normal;Product0803051;Gris;15 x 12 x 20 ;1223
Litware Microondas 1.0CuFt E110 Gris;Litware, Inc.;Litware;Normal;Product0803052;Gris;19 x 24 x 14  ;1065
Litware Microondas 0.9CuFt E090 Gris;Litware, Inc.;Litware;Economía;Product0803053;Gris;17 x 22 x 15 ;1021
Litware Microondas 0.8CuFt E080 Gris;Litware, Inc.;Litware;Economía;Product0803054;Gris;19 x 14.3 x 11.1;993
Litware Microondas 1.5CuFt X110 Red;Litware, Inc.;Litware;Deluxe;Product0803055;Red;19 x 14.3 x 11.1;871
Litware Microondas 2.2CuFt M125 Red;Litware, Inc.;Litware;Normal;Product0803056;Red;5.7  x 6.7  x 1.9  ;557
Litware Microondas 1.6CuFt M125 Red;Litware, Inc.;Litware;Normal;Product0803057;Red; 22.5 x 17.5 x 14;1390
Litware Microondas 1.0CuFt E110 Red;Litware, Inc.;Litware;Normal;Product0803058;Red;19.4 x 21.9 x 11.9;916
Litware Microondas 0.9CuFt E090 Red;Litware, Inc.;Litware;Economía;Product0803059;Red; 22.5 x 17.5 x 14;1031
Litware Microondas 0.8CuFt E080 Red;Litware, Inc.;Litware;Economía;Product0803060;Red;19 x 24 x 14 ;1196
Litware Microondas 1.5CuFt X110 Negro;Litware, Inc.;Litware;Deluxe;Product0803061;Negro;19 x 14.3 x 11.1;814
Litware Microondas 2.2CuFt M125 Negro;Litware, Inc.;Litware;Normal;Product0803062;Negro;21.6 x 12.4 x 17.5 ;447
Litware Microondas 1.6CuFt M125 Negro;Litware, Inc.;Litware;Normal;Product0803063;Negro;19.4 x 23.9 x 14 ;1066
Litware Microondas 1.0CuFt E110 Negro;Litware, Inc.;Litware;Normal;Product0803064;Negro; 22.5 x 17.5 x 14;1095
Litware Microondas 0.9CuFt E090 Negro;Litware, Inc.;Litware;Economía;Product0803065;Negro;23.2 x 22.2 x 15.5;923
Litware Microondas 0.8CuFt E080 Negro;Litware, Inc.;Litware;Economía;Product0803066;Negro;21.6 x 12.4 x 17.5;843
Litware Microondas 1.5CuFt X110 Azul;Litware, Inc.;Litware;Deluxe;Product0803067;Azul;19 x 24 x 15 ;878
Litware Microondas 2.2CuFt M125 Azul;Litware, Inc.;Litware;Normal;Product0803068;Azul;17.2 x 20.5 x 12.2;525
Litware Microondas 1.6CuFt M125 Azul;Litware, Inc.;Litware;Normal;Product0803069;Azul;19 x 14.3 x 11.1;1021
Litware Microondas 1.0CuFt E110 Azul;Litware, Inc.;Litware;Normal;Product0803070;Azul; 24.7 x 21.4 x 15.4;1205
Litware Microondas 0.9CuFt E090 Azul;Litware, Inc.;Litware;Economía;Product0803071;Azul;22.5 x 16.8 x 13 ;925
Litware Microondas 0.8CuFt E080 Azul;Litware, Inc.;Litware;Economía;Product0803072;Azul;21.7 x 17.4 x 12.4;1002
Contoso Microondas 1.5CuFt X0110 Blanco;Contoso, Ltd;Contoso;Deluxe;Product0803073;Blanco; 22.5 x 17.5 x 14;190
Contoso Microondas 2.2CuFt M0125 Blanco;Contoso, Ltd;Contoso;Normal;Product0803074;Blanco;18 x 39 x 31 ;591
Contoso Microondas 1.6CuFt M0125 Blanco;Contoso, Ltd;Contoso;Normal;Product0803075;Blanco;19 x 14.3 x 11.1;842
Contoso Microondas 1.0CuFt E0110 Blanco;Contoso, Ltd;Contoso;Normal;Product0803076;Blanco;23 x 27 x 15 ;1091
Contoso Microondas 0.9CuFt E0090 Blanco;Contoso, Ltd;Contoso;Economía;Product0803077;Blanco;23 x 27 x 17 ;1286
Contoso Microondas 0.8CuFt E0080 Blanco;Contoso, Ltd;Contoso;Economía;Product0803078;Blanco; 22.5 x 17.5 x 14;1104
Contoso Microondas 1.5CuFt X0110 Plata;Contoso, Ltd;Contoso;Deluxe;Product0803079;Plata;33.1 x 19.3 x 15.6;129
Contoso Microondas 2.2CuFt M0125 Plata;Contoso, Ltd;Contoso;Normal;Product0803080;Plata;20 x 20 x 34 ;488
Contoso Microondas 1.6CuFt M0125 Plata;Contoso, Ltd;Contoso;Normal;Product0803081;Plata;19 x 24 x 14 ;927
Contoso Microondas 1.0CuFt E0110 Plata;Contoso, Ltd;Contoso;Normal;Product0803082;Plata;19 x 14.3 x 11.1;1201
Contoso Microondas 0.9CuFt E0090 Plata;Contoso, Ltd;Contoso;Economía;Product0803083;Plata;21 x 12 x 17 ;881
Contoso Microondas 0.8CuFt E0080 Plata;Contoso, Ltd;Contoso;Economía;Product0803084;Plata;25.2 x 21.5 x 15.1 ;924
Contoso Microondas 1.5CuFt X0110 Gris;Contoso, Ltd;Contoso;Deluxe;Product0803085;Gris; 22.5 x 17.5 x 14;270
Contoso Microondas 2.2CuFt M0125 Gris;Contoso, Ltd;Contoso;Normal;Product0803086;Gris;13 x 19.4 x 16.5;604
Contoso Microondas 2.2CuFt M0125 Gris;Contoso, Ltd;Contoso;Normal;Product0803087;Gris;18 x 21 x 13 ;980
Contoso Microondas 1.0CuFt E0110 Gris;Contoso, Ltd;Contoso;Normal;Product0803088;Gris;19 x 24 x 14 ;874
Contoso Microondas 0.9CuFt E0090 Gris;Contoso, Ltd;Contoso;Economía;Product0803089;Gris; 17 x 22 x 15 ;1037
Contoso Microondas 0.8CuFt E0080 Gris;Contoso, Ltd;Contoso;Economía;Product0803090;Gris;19.4 x 21.9 x 11.9;1123
Contoso Microondas 1.5CuFt X0110 Red;Contoso, Ltd;Contoso;Deluxe;Product0803091;Red;15 x 12 x 20   ;90
Contoso Microondas 2.2CuFt M0125 Red;Contoso, Ltd;Contoso;Normal;Product0803092;Red;19 x 14.3 x 11.1;738
Contoso Microondas 1.6CuFt M0125 Red;Contoso, Ltd;Contoso;Normal;Product0803093;Red; 24.7 x 21.4 x 15.4;841
Contoso Microondas 1.0CuFt E0110 Red;Contoso, Ltd;Contoso;Normal;Product0803094;Red;22.5 x 16.8 x 13 ;962
Contoso Microondas 0.9CuFt E0090 Red;Contoso, Ltd;Contoso;Economía;Product0803095;Red;21.7 x 17.4 x 12.4;951
Contoso Microondas 0.8CuFt E0080 Red;Contoso, Ltd;Contoso;Economía;Product0803096;Red; 22.5 x 17.5 x 14;1225
Contoso Microondas 1.5CuFt X0110 Negro;Contoso, Ltd;Contoso;Deluxe;Product0803097;Negro;18 x 39 x 31 ;256
Contoso Microondas 2.2CuFt M0125 Negro;Contoso, Ltd;Contoso;Normal;Product0803098;Negro;19 x 14.3 x 11.1;474
Contoso Microondas 1.6CuFt M0125 Negro;Contoso, Ltd;Contoso;Normal;Product0803099;Negro;23 x 27 x 15 ;1023
Contoso Microondas 1.0CuFt E0110 Negro;Contoso, Ltd;Contoso;Normal;Product0803100;Negro;23 x 27 x 17 ;1133
Contoso Microondas 0.9CuFt E0090 Negro;Contoso, Ltd;Contoso;Economía;Product0803101;Negro; 22.5 x 17.5 x 14;1222
Contoso Microondas 0.8CuFt E0080 Negro;Contoso, Ltd;Contoso;Economía;Product0803102;Negro;33.1 x 19.3 x 15.6;997
Contoso  Calentador de agua 7.2GPM X1800 Blanco;Contoso, Ltd;Contoso ;Deluxe;Product0804001;Blanco;10.5 x 14 x 14   ;1102
Contoso  Calentador de agua 4.3GPM M1250 Blanco;Contoso, Ltd;Contoso ;Normal;Product0804002;Blanco;12.5  x 14  x 3.9 ;623
Contoso  Calentador de agua 4.0GPM M1250 Blanco;Contoso, Ltd;Contoso ;Normal;Product0804003;Blanco;12.2 x 14 x 14 ;1081
Contoso  Calentador de agua 2.6GPM E0900 Blanco;Contoso, Ltd;Contoso ;Normal;Product0804004;Blanco;4.2 x 15.2 x 15.5 ;1107
Contoso  Calentador de agua 1.5GPM E0800 Blanco;Contoso, Ltd;Contoso ;Economía;Product0804005;Blanco;11 x 2.5 x 8  ;1271
Contoso  Calentador de agua 7.2GPM X1800 Azul;Contoso, Ltd;Contoso ;Deluxe;Product0804006;Azul;8.5 x 12.2 x 22.8;783
Contoso  Calentador de agua 4.3GPM M1250 Azul;Contoso, Ltd;Contoso ;Normal;Product0804007;Azul;8.5 x 16.8 x 25.8;590
Contoso  Calentador de agua 4.0GPM M1250 Azul;Contoso, Ltd;Contoso ;Normal;Product0804008;Azul;22 x 6 x 14 ;1140
Contoso  Calentador de agua 2.6GPM E0900 Azul;Contoso, Ltd;Contoso ;Normal;Product0804009;Azul;3.2 x 7.5 x 6.5;778
Contoso  Calentador de agua 1.5GPM E0800 Azul;Contoso, Ltd;Contoso ;Economía;Product0804010;Azul;8.5 x 16.8 x 25.8;1168
